timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1506690387875,611,55 /kerriervision/kerriervbo/dispatcher/index-flow,200,OK,HKPC3ITS006_Report_Analysis_Report_1x 2-1,text,true,,1958,440,1,13,611,0,2
1506690388326,931,76 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS005_PO_Management_PO_Maintenance_1x 3-1,text,true,,28971,2135,1,14,190,0,1
1506690388691,527,57 /kerriervision/invalidSession,200,OK,HKPC3ITS006_Report_Analysis_Report_1x 2-1,text,true,,770,604,1,14,527,0,0
1506690388222,1006,547 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Vendor_Management_PO_Follow_Up_1x 4-1,text,true,,28994,1748,1,14,269,0,2
1506690388306,956,7 /kerriervision/kerriervbo/dispatcher/login-flow;KerrierVBO_SESSIONID=8KKtZfJQQhDTkjBVSr5xMrMmJLsMrTqpMH1l8Sd4WGm2Jhr5FL5P!35533738!1092727497,200,OK,HKPC3ITS006_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,text,true,,28998,1920,1,14,199,0,1
1506690389218,92,59 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Report_Analysis_Report_1x 2-1,text,true,,27788,1379,1,14,26,0,0
1506690389232,92,548 /kerriervision/kerriervbo/dispatcher/login-flow;KerrierVBO_SESSIONID=D3m9ZWlQ13x3GYRBgwgh1bhkYnTxNPhLPFTLJMTjvkpYk21QdYVy!1092727497!35533738,200,OK,HKPC3ITS006_Vendor_Management_PO_Follow_Up_1x 4-1,text,true,,27669,1291,1,14,25,0,0
1506690389263,93,8 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,text,true,,27690,1249,1,14,41,0,0
1506690389310,68,60 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Report_Analysis_Report_1x 2-1,text,true,,26796,697,1,14,67,0,0
1506690389356,82,9 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,text,true,,26831,632,1,14,82,0,0
