timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1505206777473,25,55 /kerriervision/kerriervbo/dispatcher/index-flow,200,OK,HKPC3ITS006_Report_Analysis_Report 2-1,text,true,,1947,440,1,14,25,0,2
1505206778969,1312,55 /kerriervision/kerriervbo/dispatcher/index-flow,200,OK,HKPC3ITS005_Report_Analysis_Report 2-1,text,true,,1946,440,1,14,1306,0,12
1505206777352,106,140 /kerriervision/kerriervbo/dispatcher/index-flow,200,OK,HKPC3ITS006_Report_Virtual_Buying_Office 1-1,text,true,,1952,440,1,14,98,0,43
1505206777582,19,141 /kerriervision/invalidSession,200,OK,HKPC3ITS006_Report_Virtual_Buying_Office 1-1,text,true,,763,605,1,14,19,0,0
1505206777466,99,76 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_PO_Management_PO_Maintenance 3-1,text,true,,28962,2138,1,14,34,0,4
1505206777576,57,547 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Vendor_Management_PO_Follow_Up 4-1,text,true,,28954,1751,1,14,17,0,1
1505206777626,25,57 /kerriervision/invalidSession,200,OK,HKPC3ITS006_Report_Analysis_Report 2-1,text,true,,758,605,1,14,25,0,0
1505206777608,71,7 /kerriervision/kerriervbo/dispatcher/login-flow;KerrierVBO_SESSIONID=8KKtZfJQQhDTkjBVSr5xMrMmJLsMrTqpMH1l8Sd4WGm2Jhr5FL5P!35533738!1092727497,200,OK,HKPC3ITS006_Vendor_Management_Air_e_booking_Maintenance(Vendor) 5-1,text,true,,28994,1923,1,14,19,0,1
1505206777634,50,548 /kerriervision/kerriervbo/dispatcher/login-flow;KerrierVBO_SESSIONID=D3m9ZWlQ13x3GYRBgwgh1bhkYnTxNPhLPFTLJMTjvkpYk21QdYVy!1092727497!35533738,200,OK,HKPC3ITS006_Vendor_Management_PO_Follow_Up 4-1,text,true,,27656,1293,1,14,18,0,0
1505206777624,69,77 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_PO_Management_PO_Maintenance 3-1,text,true,,27656,1457,1,14,29,0,0
1505206777680,51,8 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Vendor_Management_Air_e_booking_Maintenance(Vendor) 5-1,text,true,,27679,1251,1,14,20,0,0
1505206777845,91,127 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Vendor_Management_Sea_e-booking_Mantenance(Vendor) 6-1,text,true,,28984,2180,1,14,15,0,1
1505206777937,72,128 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Vendor_Management_Sea_e-booking_Mantenance(Vendor) 6-1,text,true,,27666,1485,1,14,11,0,0
1505206778031,51,856 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Carrier_Management_Air_Booking_Maintenance(Operation) 8-1,text,true,,28988,2189,1,14,14,0,2
1505206778015,67,768 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Vendor_Management_Discrepancy_Approval 7-1,text,true,,28978,2180,1,14,13,0,2
1505206778143,142,988 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Carrier_Management_Air_B/L_Maintenance 10-1,text,true,,28969,2189,1,14,94,0,2
1505206778316,965,1030 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS006_Carrier_Management_Sea_B/L_Maintenance 11-1,text,true,,28973,2159,1,14,926,0,2
